,Country,GSEI,env,pol,soc,eco,threat,risk_group
0,Somalia,92.73230709201648,108.6592412912216,81.38494418266052,73.3787196475023,67.55579956213988,82.08643055973967,5
1,Yemen,91.35783159461207,75.44191725582549,79.77482030273968,83.86674663111286,93.734893616974,80.57830713249766,5
2,Syrian Arab Republic,89.75131277581318,80.86004448368152,87.82847531625882,73.04695536663706,83.06678936225963,76.80300560058464,5
3,Chad,89.26366532390364,109.97006605821623,72.40372688620266,78.92236474172205,63.98244690134504,77.71438369675543,5
4,Sudan,86.95732079017071,66.66859884577522,80.57649492998324,84.52243882618629,79.32485632254412,83.08950629707843,5
5,Haiti,85.18349161725749,84.28967143482797,64.54659566897152,78.2674982106371,75.12646302846696,86.57809910479489,5
6,Afghanistan,85.16455761168399,71.27611671404705,81.96249678841252,91.32889998937884,72.69587951616438,71.63256700479317,5
7,South Sudan,83.26090508342864,91.40418265457907,78.96682815750474,76.80691068319615,56.37933954802897,73.11294338396121,5
8,Myanmar,81.59193308601071,59.475471145585004,81.33470683342355,77.49946555867594,60.60204113471463,89.49210192296648,5
9,Central African Republic,81.49755467297689,72.52045844368196,75.2166605259637,99.75457876869257,43.819581906719534,82.80157507937983,5
10,Nigeria,79.7027036248068,89.20193796115997,67.20964483537948,78.59904873156594,45.114241565137476,83.61666703011562,5
11,Niger,78.36210844597373,89.1255372179833,65.68070097830561,99.01262781066663,32.11887549745352,77.29498075480821,5
12,Ethiopia,78.19686773622477,72.51857990729543,76.20060284543655,71.65054889022132,49.06735450665366,84.62988646572805,5
13,Pakistan,77.83182525602984,80.48040983758074,75.09811855543147,58.35372968549905,62.5088899096303,75.39438667187471,5
14,Iraq,77.8100703207688,74.28729123235405,75.5688910808307,71.07238528443276,61.21975250903095,72.7938757739932,5
15,Mali,76.33864235137273,70.3924038566361,77.35318759317602,86.19337476042162,33.84019144191261,81.08334200313303,5
16,Mozambique,75.52020174494425,58.595650919859466,63.237655276394044,87.68422181742031,55.31318785316254,86.30618267941243,5
17,Burkina Faso,73.8444783700615,75.24761210382754,70.6466747768791,71.03315408837958,33.00453464840574,86.30080467944944,5
18,Libya,72.69894619268833,64.14869267398967,79.49987541311802,67.69969219648917,75.80499973020025,49.44637880136787,4
19,Egypt,71.74770130663524,67.2204088976933,72.98124406186083,47.166277016693954,85.28548922132849,56.868435274876134,4
20,South Africa,71.38349276447624,62.91848491812293,40.60862469685664,54.73179494134793,80.87513511340251,94.70083026243708,4
21,Lebanon,71.34137620241023,47.65213309849733,61.62239744837919,68.25533116859842,93.13913358230528,65.29312829743597,4
22,Djibouti,70.67286749616068,50.523968671057176,66.05585915447054,71.03848935688467,96.8048302690205,50.332591710616555,4
23,Lesotho,70.35810637950864,75.84400467589259,42.77171763898361,63.63560034208122,67.07321844027855,82.00986626750374,4
24,Eswatini,70.16346494163513,37.90110745446025,61.80094358534361,58.45814631589165,85.47029705543522,82.6540881176351,4
25,Burundi,69.73575594195286,58.44041581418801,69.47352184240559,79.4007716558648,50.43532967513359,68.10399424985899,4
26,"Iran, Islamic Republic of",67.78218911411811,65.23123936350675,79.7955684247354,42.42562391570001,54.8752480581624,64.72147227643687,4
27,Cameroon,67.5127549898591,51.51427983792682,69.64779203643118,64.86385990318931,49.84873250831138,76.56349515453975,4
28,Ukraine,67.50739858084856,69.83440810132308,55.56024954825454,42.055122520642115,58.60557788186184,84.28477465875609,4
29,Kenya,66.63748539714622,69.46815779650652,53.255199149960156,67.95935285062093,45.81585779635809,76.89694934556267,4
30,Zimbabwe,65.88082322286795,64.80737728991564,66.26663245710048,59.198607436169276,59.19184061492607,58.64416650079275,4
31,Azerbaijan,65.62262571311123,61.85588941558063,70.37273421674044,47.63947155893257,50.53047905275793,70.6963907904882,4
32,Togo,65.21703943652045,51.48078093441447,63.19897093809719,74.05857910559618,42.4703475584956,75.39678617036338,4
33,"Venezuela, Bolivarian Republic of",65.01741647792173,38.75082297230115,73.34640809143369,63.13492292032589,68.3151202528226,61.01939781033708,4
34,Angola,64.94498312597857,54.468149509326004,55.55988500514302,65.71554180656365,78.17665923477638,56.85317231490238,4
35,Congo,64.0207976597983,41.75907888247016,57.72779331401008,73.41219421328998,81.23953076909373,54.851085976312,4
36,Uganda,63.92507622311966,59.82408165684918,60.32022531491119,67.22814758507698,34.03268207197129,77.97680486783096,4
37,Türkiye,63.23501367129687,50.44559091771013,65.49263803556607,44.11966320477954,71.6005670819895,63.15058841301061,4
38,India,63.2105508743498,69.02338081611612,56.06936947698971,58.5741672735298,36.25816974972898,75.94274141805488,4
39,Mauritania,62.29488006041208,61.70687172629481,59.15480516350459,63.66736429499841,57.19786082681193,55.17503471164869,4
40,Guinea,60.82006567817989,53.292602777869654,67.0480780008427,75.15863161085171,47.65853273654565,48.497034237086616,4
41,Bangladesh,60.54612752767881,70.60487283883084,63.76254660055506,58.499337811585505,45.61860054274772,48.53022892571323,4
42,Eritrea,60.452792110608016,37.26415393201664,74.79379472530997,69.65831279612749,54.04129372558048,51.467610431254506,4
43,Madagascar,59.79575933831707,72.24832554246255,53.64254407643458,76.66029844906942,38.674641133613136,49.124482674970224,4
44,Sierra Leone,59.289746606417594,54.49169189316581,50.28379303595686,83.92128272186032,55.14253708564813,48.83130187138853,4
45,Guinea-Bissau,58.937922885219656,75.8233923490012,51.13503916521473,69.99298221862668,39.499402059971494,49.496081872229496,4
46,Russian Federation,58.72351412087668,59.71255572402538,72.27598525902835,39.62536689694862,30.60220039100109,67.32867976526829,4
47,Malawi,58.50437858871354,69.33805942292557,43.48200730743823,62.697343232621456,53.93402387729657,55.68647378784201,4
