Location,Value_YLL_unsafe_water_rate_per_100k,Value_YLL_air_pollution_rate_per_100k
Afghanistan,1422.29,4283.98
Albania,26.79,1660.57
Algeria,46,1131.52
Andorra,2.19,239.38
Angola,1710.48,2429.79
Antigua and Barbuda,69.14,893.41
Argentina,30.34,660.86
Armenia,26.7,2601.29
Australia,3.79,255.71
Austria,4.41,489.99
Azerbaijan,145.83,1882.86
Bahamas,46.42,791.03
Bahrain,15.27,1266.24
Bangladesh,611.14,3805.62
Barbados,56.31,1430.94
Belarus,8.48,2202.44
Belgium,15.14,452.18
Belize,172.97,1003.74
Benin,2462.62,5061.48
Bhutan,544.4,1894.37
Bolivarian Republic of Venezuela,173.78,1068.84
Bosnia and Herzegovina,13.79,3060.7
Botswana,1847.53,1490.72
Brazil,87.64,662.25
Brunei Darussalam,6.81,238.71
Bulgaria,23.9,2845.89
Burkina Faso,4413.17,5566.73
Burundi,2578.38,4053.13
Cambodia,439.78,3752.59
Cameroon,2031.21,3662.36
Canada,6.34,143.72
Cape Verde,523.74,1925.2
Central African Republic,6322.41,7338.37
Chad,12605.11,7993.19
Chile,13.34,683.9
China,16.15,2907.8
Colombia,60.89,576.93
Comoros,1363,3594.15
Costa Rica,29.6,424.44
Cote d'Ivoire,1972.31,4634.59
Croatia,14.54,1406.43
Cuba,87.69,1523.11
Cyprus,6.05,608.59
Czech Republic,28.86,1094.37
Democratic People's Republic of Korea,25.33,5873.43
Democratic Republic of Congo,1477.38,3609.74
Denmark,11.53,408.23
Djibouti,1171.58,2026.44
Dominica,121.63,1506.52
Dominican Republic,293.82,1321.74
Ecuador,67.21,651.8
Egypt,165.9,2943.07
El Salvador,157.66,974.71
Equatorial Guinea,547.95,1427.67
Eritrea,2764.29,3690
Estonia,5.54,273.18
Eswatini,2475.58,2626.99
Ethiopia,2186.46,3588.72
Federated States of Micronesia,364.37,3145.2
Fiji,420.11,2474.94
Finland,4.04,117.01
France,7.33,303.67
Gabon,616.17,1656.83
Gambia,1626.59,4269.74
Georgia,23.72,2253.27
Germany,7,529.44
Ghana,1111.38,3272.2
Greece,12.53,1108.65
Grenada,82.39,1495.36
Guatemala,782.66,1601.07
Guinea,2574.13,5749.94
Guinea-Bissau,2081.4,5230.78
Guyana,352.52,2073.28
Haiti,2980.52,5125.48
Honduras,392.75,1941.51
Hungary,26.3,1566.65
Iceland,6.26,83.87
India,960.15,3977.53
Indonesia,511.77,2136.96
Iran (Islamic Republic of),22.78,1214.5
Iraq,74.24,1909.55
Ireland,5.45,193.72
Israel,7.64,436.7
Italy,8.03,679.47
Jamaica,91.88,1054.39
Japan,12.19,528.3
Jordan,30.55,803.51
Kazakhstan,17.56,1477.48
Kenya,1601.83,2293.98
Kiribati,1308.49,3770.34
Kuwait,10.04,1010.6
Kyrgyzstan,83.68,2020.53
