Location,Prevalence_HIV_AIDS,Prevalence_TB_and_Respiratory,Prevalence_Malaria_and_Neglected_Tropical,Prevalence_Other_Infectious
Afghanistan,13.08,20436.28,22050.99,1619.54
Albania,1.07,22568.22,903.34,1063.17
Algeria,42.96,13316.6,7483.94,1470.42
Andorra,53.38,12313.5,234.83,385.35
Angola,1461.24,33231.9,38007.2,2256.36
Antigua and Barbuda,268.96,22017.5,13086.34,1346.62
Argentina,338.77,21909.67,8783.15,732.95
Armenia,47.1,24060.53,2892.9,1216.81
Australia,72.37,13385.26,263.26,427.8
Austria,88.43,11308.65,323.41,423.14
Azerbaijan,23.79,26986.95,4170.45,1574.1
Bahamas,794.91,24261.38,7205.68,1375.3
Bahrain,15.99,17924.62,6003.59,1096.3
Bangladesh,8.1,15510.26,25276.94,2058.07
Barbados,550.47,22308.49,6495.07,1160.83
Belarus,212.42,21249.21,783.83,864.72
Belgium,212.73,11762.49,241.03,423.56
Belize,463.7,24226.02,7206.6,1738.97
Benin,576.81,21300.5,46496.75,2813.52
Bhutan,122.76,9082.38,6956.58,2820.4
Bolivarian Republic of Venezuela,358.61,27410.86,23822.9,933.68
Bosnia and Herzegovina,4.97,22527.57,939.37,965.04
Botswana,14907.34,20500.09,25132.22,1694.8
Brazil,316.08,29756.98,16722.53,1318.94
Brunei Darussalam,111.41,29021.54,1450.4,659.12
Bulgaria,34.08,24048.34,864.37,1019.51
Burkina Faso,407.63,24329.03,33371.94,2980.7
Burundi,691.61,27217.76,41847.41,2252.55
Cambodia,427.97,35581.97,8456.82,1926.94
Cameroon,2215.56,23043.34,40055.99,2240.61
Canada,262.43,14871.18,221.96,412.47
Cape Verde,571.94,19128.51,8931.7,2111.15
Central African Republic,2344.53,41539.6,57928.51,2805.67
Chad,716.76,24187.67,46493.11,3512.84
Chile,339.6,18663.7,6779.88,513.46
China,38.46,36545.77,7739.2,769.6
Colombia,303.03,24689.72,15592.37,735.16
Comoros,11.3,27357.58,14865.48,2312.91
Costa Rica,110.45,22892.14,15012.52,795.07
Cote d'Ivoire,1815.98,22498.39,39732.09,2539.58
Croatia,14.84,18093.21,786.87,778.61
Cuba,240.45,19973.45,18938.8,1166.61
Cyprus,15.75,11439.27,218.2,376.49
Czech Republic,11.54,18714.26,602.94,750.22
Democratic People's Republic of Korea,85.65,39717.57,6941.65,1300.2
Democratic Republic of Congo,425.06,35490.03,58761.47,2407.29
Denmark,85.25,11177.32,242.78,413.83
Djibouti,1243.93,24043.89,14926.97,2250.73
Dominica,174.42,27200.06,6004.73,1418.69
Dominican Republic,542.22,25202.69,19696.01,1432.95
Ecuador,257.1,19602.53,28913.59,672.45
Egypt,6.47,31547.45,11447.7,1410.34
El Salvador,195.77,25251.41,16945.48,822.16
Equatorial Guinea,5752.05,27979.33,29410.86,1959.83
Eritrea,356.66,28200.62,16353.34,2639.3
Estonia,358.72,18666.99,760.07,779.02
Eswatini,17901.95,27169.9,17640.9,1689.04
Ethiopia,657.11,37371.88,34166.17,2249.79
Federated States of Micronesia,130.91,41013.88,16439.17,1825.94
Fiji,53.57,40847,19015.52,1852.82
Finland,50.26,10692.95,216.34,395.91
France,373.8,11167.04,233.38,414.66
Gabon,3056.68,31392.3,32010.09,2577.55
Gambia,1380.9,20463.64,20869.52,3149.06
Georgia,129.58,26555.68,3527.87,1225.09
Germany,105.65,11240.19,240.92,406.96
Ghana,1149.9,25244.32,37823.51,2734.83
Greece,41.74,11766.36,362.39,486.23
Grenada,131.06,25004.48,6299.62,1407.95
