General Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Albania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.63,29.36,34.69,51.409,57.01,57.79,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,73.716,73.324,71.895,69.472,67.368,75.772,75.218,65.546,59.811
Australia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.016,16.407,21.608,27.632,30.667,31.709,31.148,29.34,25.911,23.699,22.544,19.494,17.107,15.012,13.185,11.907,10.859,9.938,9.665,11.742,16.622,20.349,24.039,27.518,30.462,34.027,37.709,40.588,41.149,41.696,46.659,56.999,55.45,50.263,49.009
Austria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.548,17.294,16.59,16.603,16.73,22.716,26.046,28.334,31.975,33.943,35.397,37.269,39.494,43.413,45.755,47.506,51.666,55.187,57.365,56.332,55.932,56.134,56.028,60.629,63.721,67.865,67.807,63.056,68.819,61.103,65.738,66.729,66.728,65.853,65.189,68.642,67.309,65.031,68.698,79.854,82.697,82.445,81.92,81.266,84.048,84.894,82.84,78.501,74.083,70.639,82.948,82.49,78.406,77.545
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.223,8.115,12.274,15.813,20.295,32.547,36.805,58.223,36.946,36.859,38.791,53.007,53.482,53.16,47.515,40.999,47.493,41.182,41.297,40.72
Belgium,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,66.597,63.53,64.935,63.749,61.75,59.521,61.382,61.635,65.155,69.2,76.797,89.686,99.634,110.287,114.612,119.388,124.67,129.228,129.686,126.408,130.308,131.797,134.684,138.926,137.083,131.287,129.004,124.271,119.186,115.363,109.589,108.217,105.437,101.659,97.17,95.142,91.494,87.325,93.16,100.217,100.273,103.495,104.811,105.486,107.041,105.23,105.007,102.022,99.856,97.618,111.874,107.935,104.282,105.171
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.397,56.039,34.686,35.231,31.199,27.636,25.487,25.515,21.246,18.709,30.971,36.395,42.236,40.975,43.607,43.813,47.234,46.376,44.874,38.616,34.894,33.168,37.098,35.618,31.013,32.215
Brazil,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,67.331,76.095,71.514,68.025,66.969,64.599,63.025,61.42,64.702,62.433,60.634,61.614,59.595,61.617,71.73,77.422,82.745,84.777,87.118,96.007,88.934,83.939,84.675
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,96.227,67.455,75.345,71.506,65.807,52.971,45.671,37.507,29.011,27.12,24.191,18.787,21.286,22.102,21.197,22.795,23.603,33.711,31.57,35.821,31.713,28.84,26.849,32.554,33.755,33.111,32.918
Cambodia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.374,30.131,31.41,37.158,34.647,34.852,33.509,37.83,39.782,38.744,31.67,26.729,25.068,22.954,23.682,23.402,23.795,24.861,24.397,24.174,23.264,21.79,22.641,21.089,20.835,25.227,25.942,25.043,25.729
Canada,87.75,76.521,70.054,67.193,68.277,66.456,58.405,57.632,63.096,64.175,64.875,67.36,66.641,65.378,62.025,58.309,57.071,57.024,56.32,54.425,56.745,57.892,56.69,52.331,49.503,49.877,42.836,44.3,47.118,44.161,44.59,46.077,51.707,57.211,60.213,65.166,69.323,69.761,69.745,70.987,73.744,81.658,88.23,94.73,97.48,100.084,100.244,95.272,93.29,88.966,80.437,81.462,79.604,75.912,71.889,70.64,69.92,67.181,70.355,81.804,83.976,84.286,87.151,87.605,85.541,92.029,92.397,90.942,90.776,90.21,118.2,113.483,107.368,107.495
