Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,25.5,24.8,25,24.6,22.7,23.6,22.8,..,..,..
Albania,ALB,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,24.9,19.7,21,20.2,18.6,15.8,16,..,..,..
Albania,ALB,Gini index,SI.POV.GINI,34.6,32.8,33.7,33.1,30.1,30.1,29.4,..,..,..
Albania,ALB,Income share held by lowest 20%,SI.DST.FRST.20,7,7.7,7.3,7.6,7.9,8.5,8.4,..,..,..
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,39.6,..,..,..,..,..
Angola,AGO,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,42.2,..,..,..,..,..
Angola,AGO,Gini index,SI.POV.GINI,..,..,..,..,51.3,..,..,..,..,..
Angola,AGO,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,3.8,..,..,..,..,..
Antigua and Barbuda,ATG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,30.1,..,30.7,30,30.1,31.3,30.6,31.2,29.8,..
Argentina,ARG,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,23.8,..,24.1,23,23.9,25,26,23.8,22.8,..
Argentina,ARG,Gini index,SI.POV.GINI,41.8,..,42.3,41.4,41.7,43.3,42.7,42.4,40.7,..
Argentina,ARG,Income share held by lowest 20%,SI.DST.FRST.20,5,..,4.9,5,4.9,4.6,4.7,5,5.4,..
Armenia,ARM,Income share held by highest 10%,SI.DST.10TH.10,25.7,26.7,25.3,28.4,29.2,25.2,21.5,23.6,23,..
Armenia,ARM,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,22.6,21.6,25.2,19,19.7,20.6,16.1,18.3,20.1,..
Armenia,ARM,Gini index,SI.POV.GINI,31.5,32.4,32.5,33.6,34.4,30,25.1,27.9,27.9,..
Armenia,ARM,Income share held by lowest 20%,SI.DST.FRST.20,8.5,8.2,7.9,8.4,8.1,8.9,10.2,9.4,9.2,..
Aruba,ABW,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Income share held by highest 10%,SI.DST.10TH.10,26.6,..,25.5,..,26.2,..,..,..,..,..
Australia,AUS,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,11.2,..,12.2,..,12.7,..,..,..,..,..
Australia,AUS,Gini index,SI.POV.GINI,34.4,..,33.7,..,34.3,..,..,..,..,..
Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,7.6,..,7.5,..,7.4,..,..,..,..,..
Austria,AUT,Income share held by highest 10%,SI.DST.10TH.10,24.1,23.8,23.8,23,23.9,23.2,23.1,23.8,..,..
Austria,AUT,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,11.8,12.8,12.1,12,11.9,11.4,12.1,12.5,..,..
Austria,AUT,Gini index,SI.POV.GINI,30.5,30.5,30.8,29.7,30.8,30.2,29.8,30.7,..,..
Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,8,7.9,7.7,8,7.9,7.9,7.9,7.7,..,..
Azerbaijan,AZE,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Azerbaijan,AZE,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Income share held by highest 10%,SI.DST.10TH.10,..,..,26.8,..,..,..,..,..,27.4,..
Bangladesh,BGD,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,34.1,..,..,..,..,..,28.1,..
Bangladesh,BGD,Gini index,SI.POV.GINI,..,..,32.4,..,..,..,..,..,33.4,..
Bangladesh,BGD,Income share held by lowest 20%,SI.DST.FRST.20,..,..,8.6,..,..,..,..,..,8.2,..
Barbados,BRB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Income share held by highest 10%,SI.DST.10TH.10,22.6,21.2,21.3,21.3,21.4,21.3,20.7,..,..,..
Belarus,BLR,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,11.5,10.9,10.1,9.8,9.2,9.1,8.1,..,..,..
Belarus,BLR,Gini index,SI.POV.GINI,27.2,25.6,25.3,25.4,25.2,25.3,24.4,..,..,..
Belarus,BLR,Income share held by lowest 20%,SI.DST.FRST.20,9.3,9.7,9.9,9.9,10.1,10,10.3,..,..,..
Belgium,BEL,Income share held by highest 10%,SI.DST.10TH.10,22.4,22.2,22.2,21.9,22.2,22.3,21.4,21.9,..,..
Belgium,BEL,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,11,11.9,11.6,10.7,10.6,9.6,9,9.2,..,..
Belgium,BEL,Gini index,SI.POV.GINI,28.1,27.7,27.6,27.4,27.2,27.2,26,26.6,..,..
Belgium,BEL,Income share held by lowest 20%,SI.DST.FRST.20,8.6,8.6,8.6,8.7,8.9,9,9.4,9.2,..,..
Belize,BLZ,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Belize,BLZ,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Income share held by highest 10%,SI.DST.10TH.10,..,37.6,..,..,30,..,..,27.2,..,..
Benin,BEN,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,52.3,..,..,37.9,..,..,33.5,..,..
Benin,BEN,Gini index,SI.POV.GINI,..,47.6,..,..,37.9,..,..,34.4,..,..
Benin,BEN,Income share held by lowest 20%,SI.DST.FRST.20,..,3.3,..,..,7,..,..,7.6,..,..
Bermuda,BMU,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Gini index,SI.POV.GINI,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,27.9,..,..,..,..,22.7,..
Bhutan,BTN,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,..,..,..,25.2,..,..,..,..,14.4,..
Bhutan,BTN,Gini index,SI.POV.GINI,..,..,..,37.4,..,..,..,..,28.5,..
Bhutan,BTN,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,6.7,..,..,..,..,8.8,..
Bolivia,BOL,Income share held by highest 10%,SI.DST.10TH.10,36,34.8,32.4,32,30.6,30.8,32.6,30.3,..,..
Bolivia,BOL,Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO,26.4,26.6,26.8,26.7,24.7,22.7,22.8,23,..,..
