Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2010 [YR2010],2015 [YR2015],2005 [YR2005],2000 [YR2000],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014]
Afghanistan,AFG,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,43.01972,..,..,31.44885,..,..,..
Afghanistan,AFG,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,58.38,..,65.73,67.85,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,551.72194,648.13575,..,2858.12289,..,..,819.55782,818.72146,616.38566,520.88233,710.27469,756.96205
Afghanistan,AFG,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,36.95639,..,..,..,..,..,..,23.377,..,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,98.14115,..,..,96.8453,97.24697,..,..
Albania,ALB,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,3.28,..,2.35,1.27,..,..,..,..,..,..,..,..
Albania,ALB,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,391.47614,264.23271,119.38226,..,..,470.23552,469.95096,..,..,452.18862,..
Albania,ALB,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,97.09,92.87,..,..,93.65541,..,..,..,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,81.40784,..,..,..,..,..,..
Algeria,DZA,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,21.12,..,29.6,28.17,..,..,..,..,..,..,..,..
Algeria,DZA,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.50295,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, both sexes (%)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Completion rate, lower secondary education, both sexes (%)",UIS.CR.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
