Country Name,"2024_Adult literacy rate, population 15+ years, both sexes (%)",2024_Barro-Lee: Percentage of population age 15+ with no education,"2024_Completion rate, lower secondary education, both sexes (%)","2024_Government expenditure on education, US$ (millions)","2023_Adult literacy rate, population 15+ years, both sexes (%)",2023_Barro-Lee: Percentage of population age 15+ with no education,"2023_Completion rate, lower secondary education, both sexes (%)","2023_Government expenditure on education, US$ (millions)","2022_Adult literacy rate, population 15+ years, both sexes (%)",2022_Barro-Lee: Percentage of population age 15+ with no education,"2022_Completion rate, lower secondary education, both sexes (%)","2022_Government expenditure on education, US$ (millions)","2021_Adult literacy rate, population 15+ years, both sexes (%)",2021_Barro-Lee: Percentage of population age 15+ with no education,"2021_Completion rate, lower secondary education, both sexes (%)","2021_Government expenditure on education, US$ (millions)","2020_Adult literacy rate, population 15+ years, both sexes (%)",2020_Barro-Lee: Percentage of population age 15+ with no education,"2020_Completion rate, lower secondary education, both sexes (%)","2020_Government expenditure on education, US$ (millions)","2019_Adult literacy rate, population 15+ years, both sexes (%)",2019_Barro-Lee: Percentage of population age 15+ with no education,"2019_Completion rate, lower secondary education, both sexes (%)","2019_Government expenditure on education, US$ (millions)","2018_Adult literacy rate, population 15+ years, both sexes (%)",2018_Barro-Lee: Percentage of population age 15+ with no education,"2018_Completion rate, lower secondary education, both sexes (%)","2018_Government expenditure on education, US$ (millions)","2017_Adult literacy rate, population 15+ years, both sexes (%)",2017_Barro-Lee: Percentage of population age 15+ with no education,"2017_Completion rate, lower secondary education, both sexes (%)","2017_Government expenditure on education, US$ (millions)","2016_Adult literacy rate, population 15+ years, both sexes (%)",2016_Barro-Lee: Percentage of population age 15+ with no education,"2016_Completion rate, lower secondary education, both sexes (%)","2016_Government expenditure on education, US$ (millions)","2015_Adult literacy rate, population 15+ years, both sexes (%)",2015_Barro-Lee: Percentage of population age 15+ with no education,"2015_Completion rate, lower secondary education, both sexes (%)","2015_Government expenditure on education, US$ (millions)","2014_Adult literacy rate, population 15+ years, both sexes (%)",2014_Barro-Lee: Percentage of population age 15+ with no education,"2014_Completion rate, lower secondary education, both sexes (%)","2014_Government expenditure on education, US$ (millions)","2013_Adult literacy rate, population 15+ years, both sexes (%)",2013_Barro-Lee: Percentage of population age 15+ with no education,"2013_Completion rate, lower secondary education, both sexes (%)","2013_Government expenditure on education, US$ (millions)","2012_Adult literacy rate, population 15+ years, both sexes (%)",2012_Barro-Lee: Percentage of population age 15+ with no education,"2012_Completion rate, lower secondary education, both sexes (%)","2012_Government expenditure on education, US$ (millions)","2011_Adult literacy rate, population 15+ years, both sexes (%)",2011_Barro-Lee: Percentage of population age 15+ with no education,"2011_Completion rate, lower secondary education, both sexes (%)","2011_Government expenditure on education, US$ (millions)","2010_Adult literacy rate, population 15+ years, both sexes (%)",2010_Barro-Lee: Percentage of population age 15+ with no education,"2010_Completion rate, lower secondary education, both sexes (%)","2010_Government expenditure on education, US$ (millions)","2005_Adult literacy rate, population 15+ years, both sexes (%)",2005_Barro-Lee: Percentage of population age 15+ with no education,"2005_Completion rate, lower secondary education, both sexes (%)","2005_Government expenditure on education, US$ (millions)","2000_Adult literacy rate, population 15+ years, both sexes (%)",2000_Barro-Lee: Percentage of population age 15+ with no education,"2000_Completion rate, lower secondary education, both sexes (%)","2000_Government expenditure on education, US$ (millions)"
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,43.01972,,,,,,,819.55782,,,,818.72146,,,36.95639,648.13575,,,,756.96205,,,,710.27469,,,,520.88233,31.44885,,23.377,616.38566,,58.38,,551.72194,,65.73,,,,67.85,,2858.12289
Albania,,,,,,,,,,,,,,,,,,,,,,,,,98.14115,,,,,,93.65541,470.23552,,,,469.95096,,,,391.47614,,,,,,,,452.18862,97.24697,,,,96.8453,,,,,3.28,,,,2.35,97.09,264.23271,,1.27,92.87,119.38226
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,81.40784,,,,,,,,,,,,,,,,,,,,,,56.50295,,,,,,,,,,,21.12,,,,29.6,,,,28.17,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,99.4038,,,,104.48977,,,,96.51866,,,,93.76756,,,,91.51744,,,,100.58216,,,,80.03936,,,,,,,,108.40643,,,,102.69286,,,,51.97949,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.47758,,66.03011,,,,,,,,,,,,,,,,,,,2867.05001,,,,783.82404,,,,238.05698
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.95,,,,,,,,,,,,,,,,98.95,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,99.00387,,,,,,,35105.55042,99.12501,,,30917.83822,99.17996,,,34353.38171,98.99389,,,28218.33751,99.12195,,,30011.42828,99.10523,,,29187.28552,99.10833,,,28048.96788,98.95497,0.93,74.09815,21264.88002,,0.86,,7671.26599,,3.48,,13017.42608
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.73607,,,312.11636,,,96.96779,290.87508,,,,296.11674,,,,260.89353,,,,294.7388,,,,294.41827,99.74441,,99.28294,318.85246,,0.6,,300.86636,,0.5,,132.90199,,0.6,98.49,53.00245
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,97.80742,,,,,,,,,,,163.84205,,,,174.46398,,,,163.30051,,,,175.75436,,,,165.99487,,,,156.02065,96.82264,,,165.64447,,,,109.10885,97.29125,,,88.32731
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68159.44641,,,,63788.17877,,,,71792.18446,,,,75792.11971,,,,82430.32112,,,,75282.20355,,,,70873.16659,,0.72,99.15,63611.38338,,0.91,,34048.41377,,1.08,,20310.49425
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22413.54147,,,,21675.65731,,,,20834.1936,,,98.7,24078.26105,,,99.23,23856.38317,,,,22438.1454,,,99.19,24109.4266,,1.29,,22339.75272,,1.33,98.66,16586.65802,,1.36,,10998.76083
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,1156.82582,99.79123,,,1010.94115,99.79006,,,1099.44802,99.78806,,,1566.58764,99.78899,,,1981.21242,99.78936,,,1811.19299,99.77577,,,1440.80321,99.77863,,,1606.34279,99.77114,,,1471.02367,,,,394.0091,,,87.76,203.20638
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.3344
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,97.46419,,,,97.40389,,,824.59461,97.06668,,,,,,,830.4628,,,,823.82807,,,,805.9654,,,,813.41474,,,,,90.9774,28.89,,,,27.79,,,,25.34,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,74.68446,,64.75245,3634.64024,73.9122,,,,72.89297,,,,72.75872,,,3399.90854,65.13733,,,,61.0933,,54.93395,,61.01554,,54.4,2621.98744,57.86075,,,2798.52071,58.76918,,50.63494,2458.55646,,31.88,,,,38.65,,,,44.41,38.46,1089.53827
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.89612,,,,233.45786,,,,,99.6,,,287.33167,,,,237.36864,,,98.24562,245.11194,,,,,,0.22,,270.35912,,0.04,,195.29114,,0.01,,139.20373
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,99.75656,,,,,,,2624.13606,,,,2360.62276,,,,2702.7836,,,,3797.49568,,,,3783.51288,,,99.93871,3257.74787,,,,2893.22513,,,,2987.03439,,,99.4,1773.49467,,,,789.25479
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32304.33574,,,,30740.99927,,,,29815.92584,,,92.31,35237.80252,,,88.1,34587.69274,,,,,,,88.8,33616.48749,,4.67,,30985.73025,,4.65,89.76,22347.15126,,4.1,,
