Countries,2020_Current Health Expenditure (CHE),2020_Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2020_Current Health Expenditure (CHE) per Capita in US$,2020_Expenditure on COVID-19 per Capita in US$,2020_Population (in thousands),2020_Rest of the World (RoW) as % of Current Health Expenditure (CHE),2021_Current Health Expenditure (CHE),2021_Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2021_Current Health Expenditure (CHE) per Capita in US$,2021_Expenditure on COVID-19 per Capita in US$,2021_Population (in thousands),2021_Rest of the World (RoW) as % of Current Health Expenditure (CHE),2022_Current Health Expenditure (CHE),2022_Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2022_Current Health Expenditure (CHE) per Capita in US$,2022_Expenditure on COVID-19 per Capita in US$,2022_Population (in thousands),2022_Rest of the World (RoW) as % of Current Health Expenditure (CHE),2023_Current Health Expenditure (CHE),2023_Current Health Expenditure (CHE) as % Gross Domestic Product (GDP),2023_Current Health Expenditure (CHE) per Capita in US$,2023_Expenditure on COVID-19 per Capita in US$,2023_Population (in thousands),2023_Rest of the World (RoW) as % of Current Health Expenditure (CHE)
Afghanistan,3.129,16,80.0,3.0,39.069,,3.261,22,82.0,2.0,40.0,,3.273,23.0,81.0,1.0,40.579,8.0,,,,,,
Albania,1.138,8,396.0,,2.872,,1.327,7,466.0,,2.85,,1.172,6.0,414.0,,2.828,,,,,,,
Algeria,9.296,6,211.0,,44.042,,9.334,5,209.0,,44.761,,8.172,4.0,180.0,,45.477,,,,,,,
Andorra,254.0,9,3.283,,77.0,,277.0,8,3.536,,78.0,,254.0,8.0,3.192,,80.0,,295.0,8.0,3.654,,81.0,
Angola,1.871,3,56.0,,33.451,,2.315,3,67.0,,34.532,,3.608,3.0,101.0,,35.635,,,,,,,
Antigua and Barbuda,81.0,6,884.0,,92.0,,78.0,5,843.0,,92.0,,101.0,6.0,1.085,,93.0,,,,,,,
Argentina,40.311,10,892.0,,45.192,,48.977,10,1.081,,45.312,,62.249,10.0,1.371,,45.408,,,,,,,
Armenia,1.547,12,535.0,,2.891,0.0,1.71,12,596.0,56.0,2.87,0.0,1.944,10.0,675.0,9.0,2.881,0.0,,,,,,
Australia,153.25,11,5.953,355.0,25.744,0.0,182.722,10,7.04,707.0,25.956,0.0,176.359,10.0,6.731,,26.201,0.0,,,,,,
Austria,49.232,11,5.531,198.0,8.901,0.0,58.245,12,6.52,681.0,8.933,0.0,52.544,11.0,5.852,349.0,8.979,0.0,56.528,11.0,6.209,,9.105,
Azerbaijan,2.497,6,245.0,,10.182,,2.569,5,251.0,,10.234,,3.132,4.0,304.0,,10.295,,,,,,,
Bahamas,741.0,8,1.871,,396.0,,808.0,7,2.038,,396.0,,931.0,7.0,2.341,,398.0,,,,,,,
Bahrain,1.634,5,1.102,,1.483,,1.765,4,1.175,,1.502,,1.703,4.0,1.111,,1.533,,,,,,,
Bangladesh,8.482,2,51.0,,166.298,5.0,9.815,2,59.0,,167.659,4.0,10.348,2.0,61.0,,169.385,3.0,,,,,,
Barbados,348.0,7,1.234,,282.0,,393.0,8,1.391,,282.0,,368.0,6.0,1.302,,282.0,,,,,,,
Belarus,3.931,6,420.0,,9.351,,4.478,7,484.0,,9.251,,4.853,7.0,529.0,,9.173,,,,,,,
Belgium,59.283,11,5.145,259.0,11.522,0.0,66.366,11,5.744,235.0,11.555,0.0,62.789,11.0,5.405,130.0,11.618,0.0,,,,,,
Belize,110.0,5,281.0,,391.0,,123.0,5,310.0,,395.0,,120.0,4.0,297.0,,403.0,,,,,,,
Benin,425.0,3,33.0,,13.07,,457.0,3,34.0,,13.413,,466.0,3.0,34.0,,13.76,,,,,,,
Bhutan,103.0,4,134.0,,770.0,3.0,80.0,3,104.0,,775.0,,121.0,4.0,154.0,,781.0,,,,,,,
"Bolivia, Plurinational State of",2.939,8,249.0,,11.816,,3.297,8,276.0,,11.937,,3.709,8.0,307.0,,12.077,,,,,,,
Bosnia and Herzegovina,1.963,10,595.0,23.0,3.299,,2.262,10,697.0,38.0,3.245,,2.139,9.0,667.0,,3.205,,,,,,,
Botswana,914.0,6,386.0,,2.366,,1.182,6,492.0,,2.401,,1.166,6.0,478.0,,2.44,,,,,,,
Brazil,142.05,10,681.0,,208.661,,160.991,10,768.0,,209.55,,178.46,9.0,849.0,,210.306,,,,,,,
Brunei Darussalam,294.0,2,658.0,,447.0,0.0,301.0,2,666.0,,452.0,0.0,303.0,2.0,666.0,,455.0,0.0,,,,,,
Bulgaria,5.955,8,857.0,47.0,6.951,0.0,7.245,9,1.047,144.0,6.917,0.0,6.915,8.0,1.011,44.0,6.839,0.0,,,,,,
Burkina Faso,1.166,7,54.0,3.0,21.479,,1.259,6,57.0,1.0,21.995,,1.278,7.0,57.0,2.0,22.509,,,,,,,
Burundi,331.0,11,26.0,2.0,12.617,,301.0,9,23.0,,12.965,,329.0,8.0,25.0,,13.321,,,,,,,
Cabo Verde,121.0,7,235.0,,515.0,,146.0,7,283.0,,517.0,,149.0,7.0,286.0,,520.0,,,,,,,
Cambodia,1.84,5,110.0,,16.725,,2.031,6,120.0,,16.974,,1.884,5.0,110.0,,17.202,,,,,,,
Cameroon,1.734,4,66.0,,26.211,,1.953,4,73.0,,26.916,,1.989,4.0,72.0,,27.633,,,,,,,
Canada,215.64,13,5.649,626.0,38.172,0.0,249.312,12,6.483,741.0,38.454,0.0,242.828,11.0,6.255,168.0,38.821,0.0,240.197,11.0,6.112,,39.299,0.0
Central African Republic,214.0,9,43.0,,5.027,,236.0,9,46.0,,5.112,,244.0,10.0,48.0,,5.098,,,,,,,
Chad,650.0,4,38.0,2.0,17.225,,670.0,4,38.0,0.0,17.828,,741.0,5.0,40.0,2.0,18.455,,,,,,,
Chile,24.62,10,1.271,50.0,19.371,0.0,30.677,10,1.577,88.0,19.456,,30.254,10.0,1.547,73.0,19.553,,33.713,10.0,1.715,,19.659,
China,831.35,6,583.0,,,0.0,956.082,5,670.0,,,0.0,958.364,5.0,672.0,,,0.0,,,,,,
Colombia,23.542,9,465.0,7.0,50.63,,28.723,9,561.0,41.0,51.188,,26.154,8.0,506.0,13.0,51.738,,27.962,8.0,534.0,5.0,52.321,0.0
Comoros,72.0,6,90.0,,802.0,,82.0,6,100.0,,818.0,,103.0,8.0,123.0,,834.0,,,,,,,
Congo,461.0,4,80.0,19.0,5.753,,467.0,3,79.0,,5.892,,305.0,2.0,51.0,,6.035,,,,,,,
"Congo, Democratic Republic of the",1.973,4,21.0,1.0,95.99,,2.14,4,22.0,1.0,99.149,,2.497,4.0,24.0,0.0,102.397,,,,,,,
Cook Islands,17.0,6,1.057,,16.0,,18.0,7,1.163,,15.0,,17.0,6.0,1.13,,15.0,,,,,,,
Costa Rica,4.883,8,970.0,58.0,5.034,0.0,4.944,8,977.0,124.0,5.06,0.0,4.974,7.0,979.0,17.0,5.082,0.0,,,,,,
Croatia,4.442,8,1.095,68.0,4.058,0.0,5.587,8,1.384,114.0,4.036,0.0,5.192,7.0,1.344,78.0,3.862,0.0,,,,,,
Cuba,13.404,12,1.199,,11.176,,,14,,,11.122,,,12.0,,,11.06,,,,,,,
